TargetCandidateName,TargetCandidateOffice,TargetPropositionName,ExpenderPosition,ExpenderName,ExpenderID,Amount,ExpenditureDscr,PayeeName,DateStart,DateEnd,DateRange
"Salas, Rudy",State Assembly,,S,"Building and Protecting a Strong California, A Coalition of Firefighters, Building Trades, REALTORS., Correctional Officers Organizations and Energy Providers",1363266,949.0,Design for Mailer,,2018-05-29T00:00:00Z,2018-05-29T00:00:00Z,2018-05-29
"Salas, Rudy",State Assembly,,S,"Building and Protecting a Strong California, A Coalition of Firefighters, Building Trades, REALTORS., Correctional Officers Organizations and Energy Providers",1363266,8607.95,"Printing, Mailhouse Services and Postage for Mailer",,2018-05-29T00:00:00Z,2018-05-29T00:00:00Z,2018-05-29
"Rodriguez, Freddie",State Assembly,,S,"Building and Protecting a Strong California, A Coalition of Firefighters, Building Trades, REALTORS., Correctional Officers Organizations and Energy Providers",1363266,1261.0,Design for Mailer,,2018-05-29T00:00:00Z,2018-05-29T00:00:00Z,2018-05-29
"Rodriguez, Freddie",State Assembly,,S,"Building and Protecting a Strong California, A Coalition of Firefighters, Building Trades, REALTORS., Correctional Officers Organizations and Energy Providers",1363266,11293.82,"Printing, Mailhouse Services and Postage for Mailer",,2018-05-29T00:00:00Z,2018-05-29T00:00:00Z,2018-05-29
"",,Prop TBD - Yes on Recall of Josh Newman SD 29,S,California Republican Party - State,1030435,66684.64,Mailer,,2018-05-29T00:00:00Z,2018-05-29T00:00:00Z,2018-05-29
"Villaraigosa, Antonio",Governor,,S,"Families & Teachers for Antonio Villaraigosa for Governor 2018, sponsored by California Charter Schools Association Advocates",1404354,115718.0,TEL,,2018-05-29T00:00:00Z,2018-05-29T00:00:00Z,2018-05-29
"Villaraigosa, Antonio",Governor,,S,"Families & Teachers for Antonio Villaraigosa for Governor 2018, sponsored by California Charter Schools Association Advocates",1404354,350.0,PHO,,2018-05-29T00:00:00Z,2018-05-29T00:00:00Z,2018-05-29
"Warren, Elizabeth",State Assembly,,O,California Republican Party - State,1030435,7195.32,AD 76 Mailer,,2018-05-29T00:00:00Z,2018-05-29T00:00:00Z,2018-05-29
"Kitchens, Neil",State Assembly,,S,CALIFORNIA REPUBLICAN TAXPAYERS ASSOCIATION,1285145,13237.41,Mailer,,2018-05-29T00:00:00Z,2018-05-29T00:00:00Z,2018-05-29
"Tuck, Marshall",Superintendent of Public Instruction,,S,"Students, Parents and Teachers supporting Marshall Tuck for Superintendent of Public Instruction 2018, a project of EdVoice",1404715,36666.67,PRT,,2018-05-29T00:00:00Z,2018-05-29T00:00:00Z,2018-05-29
"Altamirano, Ivan",State Assembly,,O,Vote Smart California opposing Altamirano for Assembly 2018,1404064,9901.37,Mailer (Estimated Costs),,2018-05-29T00:00:00Z,2018-05-29T00:00:00Z,2018-05-29
"Altamirano, Ivan",State Assembly,,O,Vote Smart California opposing Altamirano for Assembly 2018,1404064,1000.0,Consulting for Mailer (Estimated Costs),,2018-05-29T00:00:00Z,2018-05-29T00:00:00Z,2018-05-29
"Jeandron, Gary",State Assembly,,O,"California Alliance for Progress and Education, an alliance of small business organizations",1283921,10042.01,"LIT, POS",,2018-05-29T00:00:00Z,2018-05-29T00:00:00Z,2018-05-29
"Jeandron, Gary",State Assembly,,O,"California Alliance for Progress and Education, an alliance of small business organizations",1283921,301.19,LIT,,2018-05-29T00:00:00Z,2018-05-29T00:00:00Z,2018-05-29
"Kotyuk, Andrew",State Assembly,,O,"California Alliance for Progress and Education, an alliance of small business organizations",1283921,10042.0,"LIT, POS",,2018-05-29T00:00:00Z,2018-05-29T00:00:00Z,2018-05-29
"Kotyuk, Andrew",State Assembly,,O,"California Alliance for Progress and Education, an alliance of small business organizations",1283921,301.19,LIT,,2018-05-29T00:00:00Z,2018-05-29T00:00:00Z,2018-05-29
"Thurmond, Tony",Superintendent of Public Instruction,,S,"Educators Supporting Tony Thurmond for Superintendent of Public Instruction 2018, sponsored by teachers and school employee organizations",1405429,34025.0,Polling,,2018-05-29T00:00:00Z,2018-05-29T00:00:00Z,2018-05-29
"Thurmond, Tony",Superintendent of Public Instruction,,S,"Educators Supporting Tony Thurmond for Superintendent of Public Instruction 2018, sponsored by teachers and school employee organizations",1405429,80000.0,Television Ads,,2018-05-29T00:00:00Z,2018-05-29T00:00:00Z,2018-05-29
"Ramos, James",State Assembly,,S,PEOPLE FOR BETTER GOVERNMENT COMMITTEE OF THE SAN MANUEL BAND OF MISSION INDIANS,1387303,37500.0,RADIO ADS,,2018-05-29T00:00:00Z,2018-05-29T00:00:00Z,2018-05-29
"Ramos, James",State Assembly,,S,PEOPLE FOR BETTER GOVERNMENT COMMITTEE OF THE SAN MANUEL BAND OF MISSION INDIANS,1387303,47137.0,MAILERS,,2018-05-29T00:00:00Z,2018-05-29T00:00:00Z,2018-05-29
"Bailey, Steven",Attorney General,,O,SEIU California State Council Political Committee,1258324,26181.85,Television Ad,,2018-05-29T00:00:00Z,2018-05-29T00:00:00Z,2018-05-29
"Becerra, Xavier",Attorney General,,S,SEIU California State Council Political Committee,1258324,26181.85,Television Ad,,2018-05-29T00:00:00Z,2018-05-29T00:00:00Z,2018-05-29
"",,Prop 71 - SETS EFFECTIVE DATE FOR BALLOT MEASURES. LEGISLATIVE CONSTITUTIONAL AMENDMENT.,S,California Democratic Party,1018392,22.42,mail production,,2018-05-29T00:00:00Z,2018-05-29T00:00:00Z,2018-05-29
"",,Prop 71 - SETS EFFECTIVE DATE FOR BALLOT MEASURES. LEGISLATIVE CONSTITUTIONAL AMENDMENT.,S,California Democratic Party,1018392,14.6,postage,,2018-05-29T00:00:00Z,2018-05-29T00:00:00Z,2018-05-29
"",,Prop 72 - PERMITS LEGISLATURE TO EXCLUDE NEWLY CONSTRUCTED RAIN-CAPTURE SYSTEMS FROM PROPERTY-TAX REASSESSMENT REQUIREMENT. LEGISLATIVE CONSTITUTIONAL AMENDMENT.,S,California Democratic Party,1018392,37.57,printing,,2018-05-29T00:00:00Z,2018-05-29T00:00:00Z,2018-05-29
"",,Prop 72 - PERMITS LEGISLATURE TO EXCLUDE NEWLY CONSTRUCTED RAIN-CAPTURE SYSTEMS FROM PROPERTY-TAX REASSESSMENT REQUIREMENT. LEGISLATIVE CONSTITUTIONAL AMENDMENT.,S,California Democratic Party,1018392,3.71,data,,2018-05-29T00:00:00Z,2018-05-29T00:00:00Z,2018-05-29
"Cox, John",Governor,,O,"Families & Teachers for Antonio Villaraigosa for Governor 2018, sponsored by California Charter Schools Association Advocates",1404354,115718.0,TEL,,2018-05-29T00:00:00Z,2018-05-29T00:00:00Z,2018-05-29
"Newsom, Gavin",Governor,,S,"Citizens Supporting Gavin Newsom for Governor 2018, sponsored by Labor Organizations and Blue Shield of California",1394881,356435.66,LIT / POS,,2018-05-29T00:00:00Z,2018-05-29T00:00:00Z,2018-05-29
"Newsom, Gavin",Governor,,S,"Citizens Supporting Gavin Newsom for Governor 2018, sponsored by Labor Organizations and Blue Shield of California",1394881,78441.01,LIT / POS,,2018-05-29T00:00:00Z,2018-05-29T00:00:00Z,2018-05-29
"Hernandez, Ed",,,S,Service Employees International Union United Healthcare Workers West PAC,1020788,849.0,"Field Expenses $39,908.38",,2018-05-29T00:00:00Z,2018-05-29T00:00:00Z,2018-05-29
"Hernandez, Ed",,,S,Service Employees International Union United Healthcare Workers West PAC,1020788,1552.47,"OFC $39,908.38",,2018-05-29T00:00:00Z,2018-05-29T00:00:00Z,2018-05-29
"Hernandez, Ed",,,S,Service Employees International Union United Healthcare Workers West PAC,1020788,5452.99,"PHO $39,908.38",,2018-05-29T00:00:00Z,2018-05-29T00:00:00Z,2018-05-29
"Hernandez, Ed",,,S,Service Employees International Union United Healthcare Workers West PAC,1020788,1600.0,"Staff Time $39,908.38",,2018-05-29T00:00:00Z,2018-05-29T00:00:00Z,2018-05-29
"Newsom, Gavin",,,S,Service Employees International Union United Healthcare Workers West PAC,1020788,849.0,"Field Expenses $31,072.01",,2018-05-29T00:00:00Z,2018-05-29T00:00:00Z,2018-05-29
"Newsom, Gavin",,,S,Service Employees International Union United Healthcare Workers West PAC,1020788,1552.46,"OFC $31,072.01",,2018-05-29T00:00:00Z,2018-05-29T00:00:00Z,2018-05-29
"Newsom, Gavin",,,S,Service Employees International Union United Healthcare Workers West PAC,1020788,5452.98,"PHO $31,072.01",,2018-05-29T00:00:00Z,2018-05-29T00:00:00Z,2018-05-29
"Newsom, Gavin",,,S,Service Employees International Union United Healthcare Workers West PAC,1020788,1600.0,"Staff Time $31,072.01",,2018-05-29T00:00:00Z,2018-05-29T00:00:00Z,2018-05-29
"Newsom, Gavin",Governor,,O,ASIAN AMERICAN SMALL BUSINESS PAC,1276929,11250.0,"ONLINE ADS, SOCIAL MEDIA, EMAILS AND CONSULTING (ESTIMATE)",,2018-05-28T00:00:00Z,2018-05-28T00:00:00Z,2018-05-28
"Cooper, Jim",State Assembly,,S,CALIFORNIA REAL ESTATE INDEPENDENT EXPENDITURE COMMITTEE - CALIFORNIA ASSOCIATION OF REALTORS,1069777,1125.0,BILLBOARDS,,2018-05-28T00:00:00Z,2018-05-28T00:00:00Z,2018-05-28
"Newsom, Gavin",Governor,,O,"Families & Teachers for Antonio Villaraigosa for Governor 2018, sponsored by California Charter Schools Association Advocates",1404354,500000.0,TEL,,2018-05-28T00:00:00Z,2018-05-28T00:00:00Z,2018-05-28
"Tuck, Marshall",Superintendent of Public Instruction,,S,"Students, Parents and Teachers supporting Marshall Tuck for Superintendent of Public Instruction 2018, a project of EdVoice",1404715,50000.0,WEB,,2018-05-28T00:00:00Z,2018-05-28T00:00:00Z,2018-05-28
"Rivas, Robert",State Assembly,,S,EdVoice for the Kids PAC,1243091,18795.0,TEL,,2018-05-28T00:00:00Z,2018-05-28T00:00:00Z,2018-05-28
"Delgado, Vanessa",State Senate,,S,"Families and Teachers United, sponsored by California Charter Schools Association Advocates",1367043,20000.0,"CNS, OFC, PHO, SAL",,2018-05-27T00:00:00Z,2018-05-27T00:00:00Z,2018-05-27
"Tuck, Marshall",Superintendent of Public Instruction,,S,Bill Bloomfield,1013130,65000.0,PRT,,2018-05-27T00:00:00Z,2018-05-27T00:00:00Z,2018-05-27
"Medrano, Frine",State Assembly,,S,"Families and Teachers United, sponsored by California Charter Schools Association Advocates",1367043,23000.0,"CNS, OFC, PHO, SAL",,2018-05-27T00:00:00Z,2018-05-27T00:00:00Z,2018-05-27
"Medrano, Frine",State Assembly,,S,"Families and Teachers United, sponsored by California Charter Schools Association Advocates",1367043,17523.51,"CNS, OFC, PHO, SAL",,2018-05-27T00:00:00Z,2018-05-27T00:00:00Z,2018-05-27
"Rubio, Susan",State Senate,,S,"Families and Teachers United, sponsored by California Charter Schools Association Advocates",1367043,7500.0,POL,,2018-05-27T00:00:00Z,2018-05-27T00:00:00Z,2018-05-27
"Rubio, Susan",State Senate,,S,"Families and Teachers United, sponsored by California Charter Schools Association Advocates",1367043,36849.73,"CNS, OFC, PHO, SAL",,2018-05-27T00:00:00Z,2018-05-27T00:00:00Z,2018-05-27
"Villaraigosa, Antonio",Governor,,S,"Families & Teachers for Antonio Villaraigosa for Governor 2018, sponsored by California Charter Schools Association Advocates",1404354,33149.65,"CNS, OFC, PHO, SAL",,2018-05-27T00:00:00Z,2018-05-27T00:00:00Z,2018-05-27
"",,,U,REAL JUSTICE PAC (FED PAC ID #C00632554),1404289,1582.56,Peer to Peer Texting,,2018-05-27T00:00:00Z,2018-05-27T00:00:00Z,2018-05-27
"Garcia, Cristina",State Assembly,,O,"WORKING CALIFORNIANS AGAINST CORRUPTION, OPPOSING CRISTINA GARCIA FOR ASSEMBLY 2018, COMMITTEE MAJOR FUNDING FROM STATE BUILDING & CONSTRUCTION TRADES COUNCIL OF CALIFORNIA",1405168,4384.5,ROBOCALLS,,2018-05-26T00:00:00Z,2018-05-26T00:00:00Z,2018-05-26
"Garcia, Cristina",State Assembly,,O,"WORKING CALIFORNIANS AGAINST CORRUPTION, OPPOSING CRISTINA GARCIA FOR ASSEMBLY 2018, COMMITTEE MAJOR FUNDING FROM STATE BUILDING & CONSTRUCTION TRADES COUNCIL OF CALIFORNIA",1405168,12059.54,LIVE CALLS,,2018-05-26T00:00:00Z,2018-05-26T00:00:00Z,2018-05-26
"Rivas, Robert",State Assembly,,S,"United for Rivas Assembly 2018, sponsored by firefighters, consumer attorneys, food and commercial workers, teachers and labor and environmental organizations",1405942,27553.41,Mailer and Digital Ads,,2018-05-26T00:00:00Z,2018-05-26T00:00:00Z,2018-05-26
"Rivas, Luz",State Assembly,,S,DART CONTAINER CORPORATION,1324683,1269.0,TELEPHONE CALLS,,2018-05-26T00:00:00Z,2018-05-26T00:00:00Z,2018-05-26
"Ma, Fiona",State Treasurer,,S,Yolo County Democratic Central Committee (Fed PAC ID# C00453712),1406217,392.13,Mailer and Postage,,2018-05-26T00:00:00Z,2018-05-26T00:00:00Z,2018-05-26
"Lewis, Garth",Superintendent of Public Instruction,,S,Yolo County Democratic Central Committee (Fed PAC ID# C00453712),1406217,392.13,Mailer and Postage,,2018-05-26T00:00:00Z,2018-05-26T00:00:00Z,2018-05-26
"Haskin, Greg",State Assembly,,O,ATLAS PAC,1279586,12954.72,MASS MAIL,,2018-05-26T00:00:00Z,2018-05-26T00:00:00Z,2018-05-26
"Gabriel, Jesse",State Assembly,,S,DART CONTAINER CORPORATION,1324683,741.0,TELEPHONE CALLS,,2018-05-26T00:00:00Z,2018-05-26T00:00:00Z,2018-05-26
"Lara, Ricardo",Insurance Commissioner,,S,Yolo County Democratic Central Committee (Fed PAC ID# C00453712),1406217,350.93,Mailer and Postage,,2018-05-26T00:00:00Z,2018-05-26T00:00:00Z,2018-05-26
"Yee, Betty",State Controller,,S,Yolo County Democratic Central Committee (Fed PAC ID# C00453712),1406217,392.13,Mailer and Postage,,2018-05-26T00:00:00Z,2018-05-26T00:00:00Z,2018-05-26
"Appel, Judy",State Assembly,,S,"LGBT (Lesbian, Gay, Bisexual & Transgender) Caucus Leadership Fund",1339123,500.0,Mailer and Postage,,2018-05-26T00:00:00Z,2018-05-26T00:00:00Z,2018-05-26
"Appel, Judy",State Assembly,,S,"LGBT (Lesbian, Gay, Bisexual & Transgender) Caucus Leadership Fund",1339123,18116.82,Mailer and Postage,,2018-05-26T00:00:00Z,2018-05-26T00:00:00Z,2018-05-26
"Tuck, Marshall",Superintendent of Public Instruction,,S,"Students, Parents and Teachers supporting Marshall Tuck for Superintendent of Public Instruction 2018, a project of EdVoice",1404715,9000.0,POL,,2018-05-26T00:00:00Z,2018-05-26T00:00:00Z,2018-05-26
"Tuck, Marshall",Superintendent of Public Instruction,,S,"Students, Parents and Teachers supporting Marshall Tuck for Superintendent of Public Instruction 2018, a project of EdVoice",1404715,10750.0,POL,,2018-05-26T00:00:00Z,2018-05-26T00:00:00Z,2018-05-26
"Tuck, Marshall",Superintendent of Public Instruction,,S,"Students, Parents and Teachers supporting Marshall Tuck for Superintendent of Public Instruction 2018, a project of EdVoice",1404715,37037.03,"LIT, OFC",,2018-05-26T00:00:00Z,2018-05-26T00:00:00Z,2018-05-26
"Allen, Travis",Governor,,S,"MARYOTT US REPRESENTATIVE D49, COMMITTEE TO ELECT",1406278,5189.05,Open letter in the San Diego Union Tribune advocating for Travis Allen.,,2018-05-26T00:00:00Z,2018-05-26T00:00:00Z,2018-05-26
"Rubio, Susan",State Senate,,S,Californians for More Affordable Homes and Quality Public Schools committee major funding from California Building Industry Association and EdVoice,1405752,42413.0,"CNS, LIT, POS",,2018-05-26T00:00:00Z,2018-05-26T00:00:00Z,2018-05-26
"Kitchens, Neil",State Assembly,,S,CALIFORNIA REPUBLICAN TAXPAYERS ASSOCIATION,1285145,13337.41,Mailer,,2018-05-26T00:00:00Z,2018-05-26T00:00:00Z,2018-05-26
"Cox, John",Governor,,S,"MARYOTT US REPRESENTATIVE D49, COMMITTEE TO ELECT",1406278,5189.05,Open letter in the San Diego Union Tribune advocating for John Cox.,,2018-05-26T00:00:00Z,2018-05-26T00:00:00Z,2018-05-26
"",,,U,REAL JUSTICE PAC (FED PAC ID #C00632554),1404289,240.0,Peer to Peer Texting,,2018-05-26T00:00:00Z,2018-05-26T00:00:00Z,2018-05-26
"Lara, Ricardo",Insurance Commissioner,,S,"LGBT (Lesbian, Gay, Bisexual & Transgender) Caucus Leadership Fund",1339123,725.0,Mailer and Postage,,2018-05-26T00:00:00Z,2018-05-26T00:00:00Z,2018-05-26
"Lara, Ricardo",Insurance Commissioner,,S,"LGBT (Lesbian, Gay, Bisexual & Transgender) Caucus Leadership Fund",1339123,84824.66,Mailer and Postage,,2018-05-26T00:00:00Z,2018-05-26T00:00:00Z,2018-05-26
"Newsom, Gavin",,,S,African American Voter Registration Education and Participation Project in Support of Gavin Newsom for Governor 2018,1406095,9636.0,"Field Program Expenses $314,022.63",,2018-05-25T00:00:00Z,2018-05-25T00:00:00Z,2018-05-25
"Newsom, Gavin",,,S,African American Voter Registration Education and Participation Project in Support of Gavin Newsom for Governor 2018,1406095,67879.34,"Field Program Salary and Expenses $314,022.63",,2018-05-25T00:00:00Z,2018-05-25T00:00:00Z,2018-05-25
"Newsom, Gavin",,,S,African American Voter Registration Education and Participation Project in Support of Gavin Newsom for Governor 2018,1406095,1642.2,"Voter Data $314,022.63",,2018-05-25T00:00:00Z,2018-05-25T00:00:00Z,2018-05-25
"Newsom, Gavin",,,S,African American Voter Registration Education and Participation Project in Support of Gavin Newsom for Governor 2018,1406095,1675.0,"LIT $314,022.63",,2018-05-25T00:00:00Z,2018-05-25T00:00:00Z,2018-05-25
"Newsom, Gavin",,,S,African American Voter Registration Education and Participation Project in Support of Gavin Newsom for Governor 2018,1406095,54306.56,"POS $314,022.63",,2018-05-25T00:00:00Z,2018-05-25T00:00:00Z,2018-05-25
"Newsom, Gavin",,,S,African American Voter Registration Education and Participation Project in Support of Gavin Newsom for Governor 2018,1406095,10290.0,"LIT $314,022.63",,2018-05-25T00:00:00Z,2018-05-25T00:00:00Z,2018-05-25
"Pardue-okimoto, Rochelle",,,S,California African American PAC,1383298,6301.0,"WEB $62,781.96",,2018-05-25T00:00:00Z,2018-05-25T00:00:00Z,2018-05-25
"Poythress, Rob",State Senate,,S,"Coalition to Restore California's Middle Class, Including Energy Companies who Produce Gas, Oil, Jobs and Pay Taxes",1365275,11650.0,Research,,2018-05-25T00:00:00Z,2018-05-25T00:00:00Z,2018-05-25
"Poythress, Rob",State Senate,,S,"Coalition to Restore California's Middle Class, Including Energy Companies who Produce Gas, Oil, Jobs and Pay Taxes",1365275,1500.0,Consulting,,2018-05-25T00:00:00Z,2018-05-25T00:00:00Z,2018-05-25
"Poythress, Rob",State Senate,,S,"Coalition to Restore California's Middle Class, Including Energy Companies who Produce Gas, Oil, Jobs and Pay Taxes",1365275,125000.0,Radio Buy,,2018-05-25T00:00:00Z,2018-05-25T00:00:00Z,2018-05-25
"Poythress, Rob",State Senate,,S,"Coalition to Restore California's Middle Class, Including Energy Companies who Produce Gas, Oil, Jobs and Pay Taxes",1365275,5000.0,Radio Production,,2018-05-25T00:00:00Z,2018-05-25T00:00:00Z,2018-05-25
"Poythress, Rob",State Senate,,S,"Coalition to Restore California's Middle Class, Including Energy Companies who Produce Gas, Oil, Jobs and Pay Taxes",1365275,1250.0,Consulting,,2018-05-25T00:00:00Z,2018-05-25T00:00:00Z,2018-05-25
"Thurmond, Tony",Superintendent of Public Instruction,,S,"Educators Supporting Tony Thurmond for Superintendent of Public Instruction 2018, sponsored by teachers and school employee organizations",1405429,31333.0,Production for Television and Digital Ads,,2018-05-25T00:00:00Z,2018-05-25T00:00:00Z,2018-05-25
"Mendoza, Tony",State Senate,,O,"Families and Teachers United, sponsored by California Charter Schools Association Advocates",1367043,35262.99,LIT,,2018-05-25T00:00:00Z,2018-05-25T00:00:00Z,2018-05-25
"Altamirano, Ivan",State Assembly,,S,The Community Coalition Supporting Ivan Altamirano for Assembly 2018,1404798,150.0,Phone banking,,2018-05-25T00:00:00Z,2018-05-25T00:00:00Z,2018-05-25
"Altamirano, Ivan",State Assembly,,S,The Community Coalition Supporting Ivan Altamirano for Assembly 2018,1404798,180.0,Phone banking,,2018-05-25T00:00:00Z,2018-05-25T00:00:00Z,2018-05-25
"Altamirano, Ivan",State Assembly,,S,The Community Coalition Supporting Ivan Altamirano for Assembly 2018,1404798,157.5,Phone banking,,2018-05-25T00:00:00Z,2018-05-25T00:00:00Z,2018-05-25
"Altamirano, Ivan",State Assembly,,S,The Community Coalition Supporting Ivan Altamirano for Assembly 2018,1404798,165.0,Phone banking,,2018-05-25T00:00:00Z,2018-05-25T00:00:00Z,2018-05-25
"Rivas, Luz",State Assembly,,S,DART CONTAINER CORPORATION,1324683,6747.0,MAILERS,,2018-05-25T00:00:00Z,2018-05-25T00:00:00Z,2018-05-25
"Warren, Elizabeth",State Assembly,,O,California Republican Party - State,1030435,7351.85,AD 76 Mailer,,2018-05-25T00:00:00Z,2018-05-25T00:00:00Z,2018-05-25
"Warren, Elizabeth",State Assembly,,O,California Republican Party - State,1030435,554.33,Voter Data,,2018-05-25T00:00:00Z,2018-05-25T00:00:00Z,2018-05-25
"Horvath, Tasha Boerner",State Assembly,,O,California Republican Party - State,1030435,7351.84,AD 76 Mailer,,2018-05-25T00:00:00Z,2018-05-25T00:00:00Z,2018-05-25
"Horvath, Tasha Boerner",State Assembly,,O,California Republican Party - State,1030435,554.34,Voter Data,,2018-05-25T00:00:00Z,2018-05-25T00:00:00Z,2018-05-25
"Ramos, James",State Assembly,,S,PEOPLE FOR BETTER GOVERNMENT COMMITTEE OF THE SAN MANUEL BAND OF MISSION INDIANS,1387303,41204.0,MAILERS,,2018-05-25T00:00:00Z,2018-05-25T00:00:00Z,2018-05-25
"Kounalakis, Eleni",Lieutenant Governor,,S,"Californians for Eleni Kounalakis for Lieutenant Governor 2018, Sponsored by the California Medical Association",1401936,50000.0,"Web Ads $5,113,875.66",,2018-05-25T00:00:00Z,2018-05-25T00:00:00Z,2018-05-25
"Newsom, Gavin",Governor,,S,United Domestic Workers of America Independent Expenditure PAC,1367550,1518.2,Signs,,2018-05-25T00:00:00Z,2018-05-25T00:00:00Z,2018-05-25
"Gabriel, Jesse",State Assembly,,S,Cooperative of American Physicians Independent Expenditure Committee,1070126,742.0,PHONE CALLS,,2018-05-25T00:00:00Z,2018-05-25T00:00:00Z,2018-05-25
"Rivas, Luz",State Assembly,,S,Cooperative of American Physicians Independent Expenditure Committee,1070126,1270.0,PHONE CALLS,,2018-05-25T00:00:00Z,2018-05-25T00:00:00Z,2018-05-25
"Wicks, Buffy",State Assembly,,S,GOVERN FOR CALIFORNIA ACTION COMMITTEE,1346242,35540.0,RADIO BUY AND PRODUCTION,,2018-05-25T00:00:00Z,2018-05-25T00:00:00Z,2018-05-25
"Chiang, John",Governor,,S,"Californians for Fiscal and Economic Leadership, primarily formed to support John Chiang for Governor 2018 sponsored by United Nurses Associations of California / Union of Health Care Professionals",1405076,100500.0,Digital Advertisements/Support/John Chiang/Governor/Statewide,,2018-05-25T00:00:00Z,2018-05-25T00:00:00Z,2018-05-25
"Chiang, John",Governor,,S,"Californians for Fiscal and Economic Leadership, primarily formed to support John Chiang for Governor 2018 sponsored by United Nurses Associations of California / Union of Health Care Professionals",1405076,19500.0,Voter Outreach (Texting)/Support/John Chiang/Governor/Statewide,,2018-05-25T00:00:00Z,2018-05-25T00:00:00Z,2018-05-25
"Cox, John",Governor,,S,"Restore Our Values, an independent committee supporting John Cox for Governor 2018",1404563,2200.0,Media Buy Production,,2018-05-25T00:00:00Z,2018-05-25T00:00:00Z,2018-05-25
"Cox, John",Governor,,S,"Restore Our Values, an independent committee supporting John Cox for Governor 2018",1404563,1004.0,Media Buy,,2018-05-25T00:00:00Z,2018-05-25T00:00:00Z,2018-05-25
"Gabriel, Jesse",State Assembly,,S,DART CONTAINER CORPORATION,1324683,5039.0,MAILERS,,2018-05-25T00:00:00Z,2018-05-25T00:00:00Z,2018-05-25
"Svonkin, Scott",Board of Equalization,,S,"Honesty PAC, Supporting Scott Svonkin for Board of Equalization 2018",1404087,16119.03,Mailer (Estimated Costs),,2018-05-25T00:00:00Z,2018-05-25T00:00:00Z,2018-05-25
"Kotyuk, Andrew",State Assembly,,O,"California Alliance for Progress and Education, an alliance of small business organizations",1283921,19984.01,"LIT, POS",,2018-05-25T00:00:00Z,2018-05-25T00:00:00Z,2018-05-25
"Kotyuk, Andrew",State Assembly,,O,"California Alliance for Progress and Education, an alliance of small business organizations",1283921,602.38,LIT,,2018-05-25T00:00:00Z,2018-05-25T00:00:00Z,2018-05-25
"Diep, Tyler",State Assembly,,O,"JOBSPAC, A BI-PARTISAN COALITION OF CALIFORNIA EMPLOYERS",1054833,1250.0,CONSULTING,,2018-05-25T00:00:00Z,2018-05-25T00:00:00Z,2018-05-25
"Diep, Tyler",State Assembly,,O,"JOBSPAC, A BI-PARTISAN COALITION OF CALIFORNIA EMPLOYERS",1054833,17671.95,MAILER,,2018-05-25T00:00:00Z,2018-05-25T00:00:00Z,2018-05-25
"Tuck, Marshall",Superintendent of Public Instruction,,S,EdVoice for the Kids PAC,1243091,16250.0,LIT,,2018-05-25T00:00:00Z,2018-05-25T00:00:00Z,2018-05-25
"Tuck, Marshall",Superintendent of Public Instruction,,S,Bill Bloomfield,1013130,16648.0,POL,,2018-05-25T00:00:00Z,2018-05-25T00:00:00Z,2018-05-25
"Tuck, Marshall",Superintendent of Public Instruction,,S,Bill Bloomfield,1013130,382144.88,"LIT, POS",,2018-05-25T00:00:00Z,2018-05-25T00:00:00Z,2018-05-25
"Rivas, Robert",State Assembly,,S,EdVoice for the Kids PAC,1243091,8865.0,POL,,2018-05-25T00:00:00Z,2018-05-25T00:00:00Z,2018-05-25
"Rivas, Robert",State Assembly,,S,EdVoice for the Kids PAC,1243091,15000.0,TEL,,2018-05-25T00:00:00Z,2018-05-25T00:00:00Z,2018-05-25
"Graham, Phil",State Assembly,,O,California Democratic Party,1018392,507.6,data,,2018-05-25T00:00:00Z,2018-05-25T00:00:00Z,2018-05-25
"Baker, Catharine",State Assembly,,S,"Driving California's Economy, Sponsored by California New Car Dealers Association",1381619,19900.96,"CNS, LIT, POS",,2018-05-25T00:00:00Z,2018-05-25T00:00:00Z,2018-05-25
"Garcia, Cristina",State Assembly,,O,"WORKING CALIFORNIANS AGAINST CORRUPTION, OPPOSING CRISTINA GARCIA FOR ASSEMBLY 2018, COMMITTEE MAJOR FUNDING FROM STATE BUILDING & CONSTRUCTION TRADES COUNCIL OF CALIFORNIA",1405168,13115.62,NEWSPAPER AD,,2018-05-25T00:00:00Z,2018-05-25T00:00:00Z,2018-05-25
"Garcia, Cristina",State Assembly,,O,"WORKING CALIFORNIANS AGAINST CORRUPTION, OPPOSING CRISTINA GARCIA FOR ASSEMBLY 2018, COMMITTEE MAJOR FUNDING FROM STATE BUILDING & CONSTRUCTION TRADES COUNCIL OF CALIFORNIA",1405168,25833.33,MAILER,,2018-05-25T00:00:00Z,2018-05-25T00:00:00Z,2018-05-25
"Koytuk, Andrew",State Assembly,,O,"KEEPING CALIFORNIANS WORKING, DENTISTS, HOUSING PROVIDERS, ENERGY AND INSURANCE AGENTS",1365806,1000.0,CONSULTING,,2018-05-25T00:00:00Z,2018-05-25T00:00:00Z,2018-05-25
"Koytuk, Andrew",State Assembly,,O,"KEEPING CALIFORNIANS WORKING, DENTISTS, HOUSING PROVIDERS, ENERGY AND INSURANCE AGENTS",1365806,7000.0,MEDIA PRODUCTION,,2018-05-25T00:00:00Z,2018-05-25T00:00:00Z,2018-05-25
